Date,File name,Sentiment,Expectations
"Apr 13, 2017","Apr 13, 2017_1.pdf",0.65,"Moderate likelihood of increased UPI transaction volume due to enhanced financial literacy drives promoting digital payments; Potential gradual adoption trend in rural and unbanked areas supported by targeted campaigns and multilingual materials.

Text 2:
Sentiment: +0.70  
Expectations: Moderate to high likelihood of increased UPI transaction volume due to focused messaging encouraging smartphone users to adopt UPI; Potential adoption trend favoring UPI as a seamless digital payment platform accessible via multiple apps and also via USSD (*99#) for non-smartphone users.

Text 3:
Sentiment: Neutral (~0.0)  
Expectations: Limited direct impact on UPI transaction volume as the focus is on macroeconomic policies and liquidity management; Adoption trends for UPI remain stable but may be indirectly influenced by overall digital payment ecosystem evolution shaped by RBI's regulatory stance.

Text 4:
Sentiment: Neutral (~0.0)  
Expectations: Data reflects historical payment volumes but does not explicitly indicate strong growth signals for UPI transactions; Adoption trends seem steady with digital payments forming a significant part of retail payment systems, including UPI.

Text 5:
Sentiment: Neutral to slightly positive (+0.1)  
Expectations: Infrastructure expansion including UPI QR Codes and ATMs supports potential incremental increase in UPI transaction volume; Adoption trends show continued support by scheduled commercial and private sector banks with growing digital acceptance infrastructure."
"Apr 13, 2017","Apr 13, 2017_2.pdf",0.7,"Moderate to high likelihood of increased UPI transaction volume due to focused messaging encouraging smartphone users to adopt UPI; Potential adoption trend favoring UPI as a seamless digital payment platform accessible via multiple apps and also via USSD (*99#) for non-smartphone users.

Text 3:
Sentiment: Neutral (~0.0)  
Expectations: Limited direct impact on UPI transaction volume as the focus is on macroeconomic policies and liquidity management; Adoption trends for UPI remain stable but may be indirectly influenced by overall digital payment ecosystem evolution shaped by RBI's regulatory stance.

Text 4:
Sentiment: Neutral (~0.0)  
Expectations: Data reflects historical payment volumes but does not explicitly indicate strong growth signals for UPI transactions; Adoption trends seem steady with digital payments forming a significant part of retail payment systems, including UPI.

Text 5:
Sentiment: Neutral to slightly positive (+0.1)  
Expectations: Infrastructure expansion including UPI QR Codes and ATMs supports potential incremental increase in UPI transaction volume; Adoption trends show continued support by scheduled commercial and private sector banks with growing digital acceptance infrastructure."
"Apr 11, 2022","Apr 11, 2022_3.pdf",,
"Apr 13, 2020","Apr 13, 2020_1.pdf",,
"Apr 13, 2023","Apr 13, 2023_1.pdf",,
"Apr 16, 2021","Apr 16, 2021_1.pdf",0.45,"Moderate likelihood of increased UPI transaction volume driven by enhanced open banking frameworks and regulatory support; Potential adoption trends include growth in digital payment APIs usage and collaboration between banks and fintechs but tempered by privacy, cybersecurity concerns, and need for robust regulatory frameworks.

Text 2:  
Sentiment: 0.3  
Expectations: Steady to moderate increase in UPI transaction volume expected due to RBI’s accommodative stance on liquidity and introduction of measures like interoperable card-less cash withdrawals via UPI; Potential adoption trends include wider acceptance and integration of UPI in banking infrastructure, especially through RBI-backed initiatives promoting digital payments.

Text 3:  
Sentiment: 0.6  
Expectations: High likelihood of increasing UPI transaction volume evidenced by significant growth numbers and rising volumes in UPI transaction metrics; Adoption trends point towards continued expansion in retail payment systems, increasing use of UPI QR codes, growth in inter-bank mobile payments, and broadening penetration of digital payments infrastructure.

Text 4:  
Sentiment: 0.5  
Expectations: Moderate to strong increase in UPI transaction volume expected through regulatory facilitations such as interoperable card-less cash withdrawals and reduced net-worth requirements for Bharat Bill Payment Operating Units; Adoption trends likely to favor broader participation by non-bank entities, enhanced cyber resilience, and robust governance to improve trust and scalability in UPI and related payment systems.

Text 5:  
Sentiment: 0.4  
Expectations: Moderate increase in UPI transaction volume plausible as Urban Cooperative Banks adopt digital payment channels, including mobile banking and retail payment systems like IMPS that integrate with UPI; Adoption trends indicate uneven digitisation across bank types and regions, with larger scheduled UCBs leading and potential for gradual digital depth improvement among smaller banks facilitating wider UPI adoption."
"Apr 18, 2022","Apr 18, 2022_1.pdf",0.3,"Steady to moderate increase in UPI transaction volume expected due to RBI’s accommodative stance on liquidity and introduction of measures like interoperable card-less cash withdrawals via UPI; Potential adoption trends include wider acceptance and integration of UPI in banking infrastructure, especially through RBI-backed initiatives promoting digital payments.

Text 3:  
Sentiment: 0.6  
Expectations: High likelihood of increasing UPI transaction volume evidenced by significant growth numbers and rising volumes in UPI transaction metrics; Adoption trends point towards continued expansion in retail payment systems, increasing use of UPI QR codes, growth in inter-bank mobile payments, and broadening penetration of digital payments infrastructure.

Text 4:  
Sentiment: 0.5  
Expectations: Moderate to strong increase in UPI transaction volume expected through regulatory facilitations such as interoperable card-less cash withdrawals and reduced net-worth requirements for Bharat Bill Payment Operating Units; Adoption trends likely to favor broader participation by non-bank entities, enhanced cyber resilience, and robust governance to improve trust and scalability in UPI and related payment systems.

Text 5:  
Sentiment: 0.4  
Expectations: Moderate increase in UPI transaction volume plausible as Urban Cooperative Banks adopt digital payment channels, including mobile banking and retail payment systems like IMPS that integrate with UPI; Adoption trends indicate uneven digitisation across bank types and regions, with larger scheduled UCBs leading and potential for gradual digital depth improvement among smaller banks facilitating wider UPI adoption."
"Apr 18, 2022","Apr 18, 2022_10.pdf",0.6,"High likelihood of increasing UPI transaction volume evidenced by significant growth numbers and rising volumes in UPI transaction metrics; Adoption trends point towards continued expansion in retail payment systems, increasing use of UPI QR codes, growth in inter-bank mobile payments, and broadening penetration of digital payments infrastructure.

Text 4:  
Sentiment: 0.5  
Expectations: Moderate to strong increase in UPI transaction volume expected through regulatory facilitations such as interoperable card-less cash withdrawals and reduced net-worth requirements for Bharat Bill Payment Operating Units; Adoption trends likely to favor broader participation by non-bank entities, enhanced cyber resilience, and robust governance to improve trust and scalability in UPI and related payment systems.

Text 5:  
Sentiment: 0.4  
Expectations: Moderate increase in UPI transaction volume plausible as Urban Cooperative Banks adopt digital payment channels, including mobile banking and retail payment systems like IMPS that integrate with UPI; Adoption trends indicate uneven digitisation across bank types and regions, with larger scheduled UCBs leading and potential for gradual digital depth improvement among smaller banks facilitating wider UPI adoption."
"Apr 18, 2022","Apr 18, 2022_3.pdf",0.5,"Moderate to strong increase in UPI transaction volume expected through regulatory facilitations such as interoperable card-less cash withdrawals and reduced net-worth requirements for Bharat Bill Payment Operating Units; Adoption trends likely to favor broader participation by non-bank entities, enhanced cyber resilience, and robust governance to improve trust and scalability in UPI and related payment systems.

Text 5:  
Sentiment: 0.4  
Expectations: Moderate increase in UPI transaction volume plausible as Urban Cooperative Banks adopt digital payment channels, including mobile banking and retail payment systems like IMPS that integrate with UPI; Adoption trends indicate uneven digitisation across bank types and regions, with larger scheduled UCBs leading and potential for gradual digital depth improvement among smaller banks facilitating wider UPI adoption."
"Apr 18, 2022","Apr 18, 2022_8.pdf",0.4,"Moderate increase in UPI transaction volume plausible as Urban Cooperative Banks adopt digital payment channels, including mobile banking and retail payment systems like IMPS that integrate with UPI; Adoption trends indicate uneven digitisation across bank types and regions, with larger scheduled UCBs leading and potential for gradual digital depth improvement among smaller banks facilitating wider UPI adoption."
"Apr 21, 2023","Apr 21, 2023_1.pdf",0.6,"High likelihood of increased UPI transaction volume due to expanded scope including credit lines through UPI, enhancing payment ecosystem; Increasing adoption expected driven by integration with RuPay credit cards and ongoing product innovation leveraging UPI’s robustness.  

Text 2:  
Sentiment: 0.7  
Expectations: Strong likelihood of increased UPI transaction volume supported by data showing UPI transaction count growth and rising number of UPI QR codes; Continued adoption growth expected due to widespread mobile payments, increasing digital infrastructure, and consumer preference for fast, convenient payment modes.  

Text 3:  
Sentiment: 0.55  
Expectations: Moderate to high likelihood of increased UPI usage as part of broader digital payment and financial inclusion growth; Potential adoption trends include greater penetration in rural and underserved segments supported by technology partnerships and integration with India Stack ecosystem enhancing digital finance reach.  

Text 4:  
Sentiment: 0.5  
Expectations: Moderate likelihood of increased UPI transaction volume given RBI’s emphasis on expanding UPI capabilities (e.g., pre-sanctioned credit lines) and innovation in payment infrastructure; Steady adoption trends anticipated with regulatory support and enhanced product offerings maintaining trust and stability in digital payments.  

Text 5:  
Sentiment: 0.4  
Expectations: Indirect impact on UPI volumes through strengthened banking liquidity and resilience but no direct immediate effect; Adoption trends likely stable with enhanced risk management and regulatory standards supporting overall confidence in digital payment ecosystem including UPI."
"Apr 21, 2023","Apr 21, 2023_11.pdf",0.7,"Strong likelihood of increased UPI transaction volume supported by data showing UPI transaction count growth and rising number of UPI QR codes; Continued adoption growth expected due to widespread mobile payments, increasing digital infrastructure, and consumer preference for fast, convenient payment modes.  

Text 3:  
Sentiment: 0.55  
Expectations: Moderate to high likelihood of increased UPI usage as part of broader digital payment and financial inclusion growth; Potential adoption trends include greater penetration in rural and underserved segments supported by technology partnerships and integration with India Stack ecosystem enhancing digital finance reach.  

Text 4:  
Sentiment: 0.5  
Expectations: Moderate likelihood of increased UPI transaction volume given RBI’s emphasis on expanding UPI capabilities (e.g., pre-sanctioned credit lines) and innovation in payment infrastructure; Steady adoption trends anticipated with regulatory support and enhanced product offerings maintaining trust and stability in digital payments.  

Text 5:  
Sentiment: 0.4  
Expectations: Indirect impact on UPI volumes through strengthened banking liquidity and resilience but no direct immediate effect; Adoption trends likely stable with enhanced risk management and regulatory standards supporting overall confidence in digital payment ecosystem including UPI."
"Apr 21, 2023","Apr 21, 2023_3.pdf",0.55,"Moderate to high likelihood of increased UPI usage as part of broader digital payment and financial inclusion growth; Potential adoption trends include greater penetration in rural and underserved segments supported by technology partnerships and integration with India Stack ecosystem enhancing digital finance reach.  

Text 4:  
Sentiment: 0.5  
Expectations: Moderate likelihood of increased UPI transaction volume given RBI’s emphasis on expanding UPI capabilities (e.g., pre-sanctioned credit lines) and innovation in payment infrastructure; Steady adoption trends anticipated with regulatory support and enhanced product offerings maintaining trust and stability in digital payments.  

Text 5:  
Sentiment: 0.4  
Expectations: Indirect impact on UPI volumes through strengthened banking liquidity and resilience but no direct immediate effect; Adoption trends likely stable with enhanced risk management and regulatory standards supporting overall confidence in digital payment ecosystem including UPI."
"Apr 21, 2023","Apr 21, 2023_5.pdf",0.5,"Moderate likelihood of increased UPI transaction volume given RBI’s emphasis on expanding UPI capabilities (e.g., pre-sanctioned credit lines) and innovation in payment infrastructure; Steady adoption trends anticipated with regulatory support and enhanced product offerings maintaining trust and stability in digital payments.  

Text 5:  
Sentiment: 0.4  
Expectations: Indirect impact on UPI volumes through strengthened banking liquidity and resilience but no direct immediate effect; Adoption trends likely stable with enhanced risk management and regulatory standards supporting overall confidence in digital payment ecosystem including UPI."
"Apr 21, 2025","Apr 21, 2025_1.pdf",0.4,Indirect impact on UPI volumes through strengthened banking liquidity and resilience but no direct immediate effect; Adoption trends likely stable with enhanced risk management and regulatory standards supporting overall confidence in digital payment ecosystem including UPI.
"Apr 21, 2025","Apr 21, 2025_2.pdf",-0.6,"Low likelihood of increased UPI transaction volume as the text focuses on amendments to Basel III liquidity regulations without direct reference to payment systems; Limited potential adoption trends in UPI as the content is regulatory and focused on bank liquidity coverage standards rather than payment interfaces.

Text 2:  
Sentiment: +0.7  
Expectations: High likelihood of increased UPI transaction volume driven by the announcement to enhance transaction limits and flexibility on UPI usage, particularly person-to-merchant transactions; Positive potential adoption trends as the ecosystem is encouraged to respond to evolving use cases, suggesting greater merchant and user adoption under supportive safeguards.

Text 3:  
Sentiment: +0.3  
Expectations: Moderate likelihood of increased UPI transaction volume supported by accommodative monetary policy improving financial conditions and growth prospects, indirectly benefiting digital payments including UPI; Adoption trends likely to improve gradually as economic recovery and policy support enhance consumer spending and investment activities, but the link to UPI adoption is indirect.

Text 4:  
Sentiment: +0.8  
Expectations: Strong likelihood of increased UPI transaction volume as the data shows actual substantial growth in UPI transaction volumes and values month-on-month and year-on-year; Adoption trends are positive with increasing number of UPI QR codes and a growing infrastructure, indicating sustained expansion and deeper penetration.

Text 5:  
Sentiment: +0.7  
Expectations: High likelihood of increased UPI transaction volume grounded in the emphasis on digital payment ecosystems like UPI for financial inclusion and economic growth; Potential adoption trends are strong with ongoing digital transformations, demographic tailwinds, and government initiatives like Jan Dhan and Aadhaar expanding formal financial access and digital payments uptake."
"Apr 22, 2025","Apr 22, 2025_1.pdf",0.7,"High likelihood of increased UPI transaction volume driven by the announcement to enhance transaction limits and flexibility on UPI usage, particularly person-to-merchant transactions; Positive potential adoption trends as the ecosystem is encouraged to respond to evolving use cases, suggesting greater merchant and user adoption under supportive safeguards.

Text 3:  
Sentiment: +0.3  
Expectations: Moderate likelihood of increased UPI transaction volume supported by accommodative monetary policy improving financial conditions and growth prospects, indirectly benefiting digital payments including UPI; Adoption trends likely to improve gradually as economic recovery and policy support enhance consumer spending and investment activities, but the link to UPI adoption is indirect.

Text 4:  
Sentiment: +0.8  
Expectations: Strong likelihood of increased UPI transaction volume as the data shows actual substantial growth in UPI transaction volumes and values month-on-month and year-on-year; Adoption trends are positive with increasing number of UPI QR codes and a growing infrastructure, indicating sustained expansion and deeper penetration.

Text 5:  
Sentiment: +0.7  
Expectations: High likelihood of increased UPI transaction volume grounded in the emphasis on digital payment ecosystems like UPI for financial inclusion and economic growth; Potential adoption trends are strong with ongoing digital transformations, demographic tailwinds, and government initiatives like Jan Dhan and Aadhaar expanding formal financial access and digital payments uptake."
"Apr 22, 2025","Apr 22, 2025_3.pdf",0.3,"Moderate likelihood of increased UPI transaction volume supported by accommodative monetary policy improving financial conditions and growth prospects, indirectly benefiting digital payments including UPI; Adoption trends likely to improve gradually as economic recovery and policy support enhance consumer spending and investment activities, but the link to UPI adoption is indirect.

Text 4:  
Sentiment: +0.8  
Expectations: Strong likelihood of increased UPI transaction volume as the data shows actual substantial growth in UPI transaction volumes and values month-on-month and year-on-year; Adoption trends are positive with increasing number of UPI QR codes and a growing infrastructure, indicating sustained expansion and deeper penetration.

Text 5:  
Sentiment: +0.7  
Expectations: High likelihood of increased UPI transaction volume grounded in the emphasis on digital payment ecosystems like UPI for financial inclusion and economic growth; Potential adoption trends are strong with ongoing digital transformations, demographic tailwinds, and government initiatives like Jan Dhan and Aadhaar expanding formal financial access and digital payments uptake."
"Apr 22, 2025","Apr 22, 2025_5.pdf",0.8,"Strong likelihood of increased UPI transaction volume as the data shows actual substantial growth in UPI transaction volumes and values month-on-month and year-on-year; Adoption trends are positive with increasing number of UPI QR codes and a growing infrastructure, indicating sustained expansion and deeper penetration.

Text 5:  
Sentiment: +0.7  
Expectations: High likelihood of increased UPI transaction volume grounded in the emphasis on digital payment ecosystems like UPI for financial inclusion and economic growth; Potential adoption trends are strong with ongoing digital transformations, demographic tailwinds, and government initiatives like Jan Dhan and Aadhaar expanding formal financial access and digital payments uptake."
"Apr 23, 2024","Apr 23, 2024_1.pdf",0.7,"High likelihood of increased UPI transaction volume grounded in the emphasis on digital payment ecosystems like UPI for financial inclusion and economic growth; Potential adoption trends are strong with ongoing digital transformations, demographic tailwinds, and government initiatives like Jan Dhan and Aadhaar expanding formal financial access and digital payments uptake."
"Apr 23, 2024","Apr 23, 2024_10.pdf",0.2,"Moderate likelihood of increased UPI transaction volume driven by expanding digital payments and steady infrastructure growth; Continued adoption trends showing growth in UPI QR code acceptance and increasing penetration in rural and non-bank segments.

Text 2:
Sentiment: 0.0
Expectations: Neutral-to-low likelihood of increased UPI transaction volume due to global economic uncertainties and inflation pressures impacting discretionary spending; Potential adoption trends stabilizing with focus on economic recovery and digital infrastructure improvements in domestic economy.

Text 3:
Sentiment: 0.5
Expectations: Positive likelihood of increased UPI transaction volume supported by accommodative monetary policy and sustained economic growth; Trends indicate growing adoption of UPI among diverse user segments and integration with new fintech innovations enhancing transaction convenience.

Text 4:
Sentiment: 0.6
Expectations: Positive likelihood of increased UPI transaction volume due to regulatory support, expansion of UPI usage to non-bank operators and cash deposit facilities via UPI; Adoption trends accelerating with increased interoperability and innovation in digital payment channels.

Text 5:
Sentiment: -0.1
Expectations: Slight risk of slowed UPI transaction volume growth influenced by global trade tensions and geopolitical uncertainties impacting economic growth; Adoption trends may face headwinds but sustained domestic resilience and government digital push could maintain steady uptake."
